Table S3 Comsuptive water of cotton and blends denim among different countries/regions. Uint: m3/ton frabic;;;;;
;;;;;
Country/region;Blends denim;;Cotton denim;;
;Blue water;Green water;Blue water;Green water;
China;1855;2239;2431;3199;
Hong Kong, China;3738;3253;5120;4648;
Taipei, Chinese;3738;3253;5120;4648;
Japan;3738;3253;5120;4648;
Korea, Republic of;3738;3253;5120;4648;
India ;4330;11596;5967;16566;
Pakistan;7375;1877;10316;2681;
Bangladesh;3738;3253;5120;4648;
Egypt;8036;0;11261;0;
Turkey;5509;513;7651;732;
Bahrain;3738;3253;5120;4648;
ASEAN;3738;3253;5120;4648;
USA;1527;2980;1962;4258;
Mexico;3738;3253;5120;4648;
Colombia;3738;3253;5120;4648;
Brazil;583;4586;613;6551;
Mauritius;3738;3253;5120;4648;
Morocco;3738;3253;5120;4648;
Tunisia;3738;3253;5120;4648;
Turkmenistan;10479;726;14750;1037;
EU-15;3722;944;5097;1348;
GLO;3738;3253;5120;4648;
;;;;;
;;;;;
